Engine: China DJI 2212-920kv
Engine weight (EW): 54 g
Propeller: China 9443 selflocking
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,1;0;0,0;-54;0,0
1100;12,5;0,1;1,7;19;10,7;-35;-20,6
1200;12,5;0,4;5,3;67;12,5;13;2,5
1300;12,5;0,9;10,9;122;11,2;68;6,2
1400;12,5;1,4;17,5;181;10,3;127;7,3
1500;12,4;2,3;28,9;266;9,2;212;7,3
1600;12,4;3,6;44,8;370;8,3;316;7,1
1700;12,2;5,4;66,3;490;7,4;436;6,6
1800;12,2;7,6;93,0;610;6,6;556;6,0
1900;12,0;10,6;127,7;677;5,3;623;4,9
2000;11,9;12,3;146,3;734;5,0;680;4,6
