Engine: China DJI 2212-920kv
Engine weight (EW): 54 g
Propeller: Gemfan 1045 DJI hub
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0;0,1;0;0;-54;0,0
1100;12,5;0;0;0;0;-54;0,0
1200;12,5;0,5;5,6;63;11,2;9;1,6
1300;12,4;0,9;11,7;126;10,7;72;6,2
1400;12,4;1,9;23,9;221;9,2;167;7,0
1500;12,3;3,4;41,8;334;8;280;6,7
1600;12,2;5,1;62,9;448;7,1;394;6,3
1700;12,1;7,4;90,1;579;6,4;525;5,8
1800;12;10;120,2;703;5,9;649;5,4
1900;11,8;12,9;153;815;5,3;761;5,0
2000;11,7;15,3;178,5;894;5;840;4,7
