Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: APC 1045MR
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-54;0,0
1100;12,5;0,0;0,0;0;0,0;-54;0,0
1200;12,5;0,3;3,6;56;15,7;2;0,6
1300;12,5;0,6;7,6;108;14,2;54;7,1
1400;12,5;1,1;13,8;168;12,2;114;8,3
1500;12,5;2,0;24,8;265;10,7;211;8,5
1600;12,4;3,2;39,1;372;9,5;318;8,1
1700;12,3;4,7;58,4;494;8,5;440;7,5
1800;12,2;6,8;83,3;629;7,6;575;6,9
1900;12,1;9,1;110,6;759;6,9;705;6,4
2000;12,0;10,7;128,9;841;6,5;787;6,1
