Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: APC 1047SF
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,6;0,0;0,0;0;0,0;-54;0,0
1100;12,6;0,1;0,9;7;0,0;-47;0,0
1200;12,5;0,3;3,8;62;16,3;8;2,1
1300;12,5;0,7;8,2;115;14,0;61;7,4
1400;12,5;1,3;16,5;196;11,9;142;8,6
1500;12,4;2,5;30,8;311;10,1;257;8,3
1600;12,4;4,0;49,1;430;8,8;376;7,7
1700;12,3;6,0;73,1;566;7,7;512;7,0
1800;12,1;8,4;102,0;700;6,9;646;6,3
1900;12,0;11,1;133,8;833;6,2;779;5,8
2000;11,9;13,0;155,1;911;5,9;857;5,5
