Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: China 9443 selflocking
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-54;0,0
1100;12,5;0,0;0,1;0;0,0;-54;0,0
1200;12,5;0,3;3,4;54;15,8;0;0,0
1300;12,5;0,6;7,0;99;14,2;45;6,4
1400;12,5;1,0;12,3;148;12,0;94;7,6
1500;12,5;1,6;19,7;213;10,8;159;8,1
1600;12,4;2,5;31,0;299;9,7;245;7,9
1700;12,3;3,8;47,0;405;8,6;351;7,5
1800;12,3;5,5;67,2;518;7,7;464;6,9
1900;12,1;7,8;94,7;607;6,4;553;5,8
2000;12,1;9,2;111,7;661;5,9;607;5,4
