Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: Gemfan 1045 DJI hub
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,6;0,0;0,0;0;0,0;-54;0,0
1100;12,6;0,1;1,1;15;13,5;-39;-35,5
1200;12,5;0,3;3,9;57;14,8;3;0,8
1300;12,5;0,7;8,9;110;12,4;56;6,3
1400;12,5;1,5;18,2;194;10,7;140;7,7
1500;12,4;2,6;32,5;300;9,3;246;7,6
1600;12,3;4,1;50,1;412;8,2;358;7,1
1700;12,2;6,0;73,4;540;7,4;486;6,6
1800;12,1;8,3;100,5;678;6,7;624;6,2
1900;12,0;11,0;131,8;807;6,1;753;5,7
2000;11,9;12,8;151,7;881;5,8;827;5,5
