Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: Gemfan 9047
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,6;0,0;0,0;0;0,0;-54;0,0
1100;12,6;0,1;1,2;18;14,5;-36;-30,0
1200;12,6;0,3;3,7;60;16,3;6;1,6
1300;12,6;0,6;7,9;108;13,6;54;6,8
1400;12,5;1,1;13,3;160;12,1;106;8,0
1500;12,5;1,9;23,2;241;10,4;187;8,1
1600;12,4;2,9;35,7;334;9,4;280;7,8
1700;12,4;4,3;53,3;441;8,3;387;7,3
1800;12,3;6,1;74,6;557;7,5;503;6,7
1900;12,1;8,0;97,8;670;6,9;616;6,3
2000;12,1;9,0;109,3;721;6,6;667;6,1
