Engine: TBS 2216-900kv
Engine weight (EW): 76 g
Propeller: apc 1045MR
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,1;0;0,0;-76;0,0
1100;12,5;0,0;0,0;0;0,0;-76;0,0
1200;12,4;0,4;4,8;63;13,0;-13;-2,7
1300;12,4;0,8;9,9;121;12,2;45;4,5
1400;12,4;1,3;15,8;183;11,6;107;6,8
1500;12,4;2,1;26,2;271;10,4;195;7,4
1600;12,3;3,3;40,8;383;9,4;307;7,5
1700;12,2;5,0;60,9;514;8,4;438;7,2
1800;12,1;7,1;86,5;658;7,6;582;6,7
1900;12,0;9,6;115,5;788;6,8;712;6,2
2000;11,9;11,5;136,8;896;6,5;820;6,0
