Engine: TBS 2216-900kv
Engine weight (EW): 76 g
Propeller: apc 1138SF
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-76;0,0
1100;12,5;0,0;0,0;0;0,0;-76;0,0
1200;12,5;0,4;5,3;69;13,1;-7;-1,3
1300;12,5;0,8;10,5;135;12,9;59;5,6
1400;12,4;1,5;18,1;214;11,8;138;7,6
1500;12,4;2,6;32,6;337;10,3;261;8,0
1600;12,3;4,2;51,2;471;9,2;395;7,7
1700;12,1;6,2;75,8;625;8,2;549;7,2
1800;12,1;8,9;107,7;793;7,4;717;6,7
1900;11,9;12,1;143,1;955;6,7;879;6,1
2000;11,7;14,4;169,2;1060;6,3;984;5,8
