Engine: TBS 2216-900kv
Engine weight (EW): 76 g
Propeller: banggood 1238SF
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-76;0,0
1100;12,5;0,0;0,0;0;0,0;-76;0,0
1200;12,5;0,4;5,4;71;13,0;-5;-0,9
1300;12,4;0,9;11,0;143;12,9;67;6,1
1400;12,4;1,9;22,9;258;11,3;182;7,9
1500;12,3;3,4;42,0;410;9,8;334;8,0
1600;12,2;5,5;66,6;566;8,5;490;7,4
1700;12,1;7,9;95,6;736;7,7;660;6,9
1800;11,9;11,3;134,7;920;6,8;844;6,3
1900;11,7;14,9;174,4;1073;6,2;997;5,7
2000;11,5;18,0;207,6;1186;5,7;1110;5,3
