Engine: TBS 2216-900kv
Engine weight (EW): 76 g
Propeller: gemfan 1245
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,1;-1;0,0;-77;0,0
1100;12,5;0,1;1,5;13;9,0;-63;-42,0
1200;12,5;0,4;5,6;65;11,6;-11;-2,0
1300;12,4;1,0;13,0;143;11,0;67;5,2
1400;12,4;2,2;27,0;259;9,6;183;6,8
1500;12,3;3,8;46,8;396;8,5;320;6,8
1600;12,2;5,9;72,5;539;7,4;463;6,4
1700;12,1;8,5;103,0;690;6,7;614;6,0
1800;11,9;11,5;137,1;835;6,1;759;5,5
1900;11,7;15,1;176,1;983;5,6;907;5,2
2000;11,5;18,0;206,4;1068;5,2;992;4,8
