Engine: TBS 400kv
Engine weight (EW): 86 g
Propeller: 1755
Accumulator: 4S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;16,7;0,0;0,1;0;0,0;-86;0,0
1100;16,7;0,1;2,2;15;6,6;-71;-32,3
1200;16,7;0,3;5,0;76;15,3;-10;-2,0
1300;16,7;0,8;13,1;183;13,9;97;7,4
1400;16,7;1,6;26,9;330;12,3;244;9,1
1500;16,6;2,8;45,7;493;10,8;407;8,9
1600;16,5;4,3;71,7;678;9,5;592;8,3
1700;16,4;6,5;107,1;898;8,4;812;7,6
1800;16,3;9,1;148,9;1128;7,6;1042;7,0
1900;16,2;12,4;199,8;1321;6,6;1235;6,2
2000;16,0;14,7;235,2;1455;6,2;1369;5,8
