Engine: TBS 400kv
Engine weight (EW): 86 g
Propeller: tarot 1555 foldable
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-86;0,0
1100;12,5;0,1;0,8;5;0,0;-81;0,0
1200;12,5;0,2;2,4;40;16,5;-46;-19,2
1300;12,5;0,5;6,1;106;17,2;20;3,3
1400;12,5;1,0;12,7;196;15,4;110;8,7
1500;12,4;1,8;22,3;307;13,8;221;9,9
1600;12,4;2,8;34,9;435;12,5;349;10,0
1700;12,3;4,0;49,5;572;11,6;486;9,8
1800;12,2;5,6;68,5;724;10,6;638;9,3
1900;12,1;7,5;90,8;883;9,7;797;8,8
2000;12,1;8,5;102,9;969;9,4;883;8,6
